customer_id,registration_date,area_name
815966,2020-06-09,Topanga
955228,2020-12-10,Southwest
36623,2020-09-02,Northeast
803714,2020-05-09,Van Nuys
827089,2020-01-06,Hollenbeck
507769,2020-08-12,Mission
191985,2020-09-17,77th Street
527522,2020-06-26,Harbor
67699,2020-08-31,Harbor
71901,2020-08-07,West LA
607129,2020-01-17,Southeast
66142,2020-08-23,Olympic
372496,2020-04-07,Central
209749,2020-06-14,Hollywood
20238,2020-12-09,Devonshire
349711,2020-02-22,Central
395678,2020-03-01,Van Nuys
520704,2020-02-29,Wilshire
151253,2020-01-10,Rampart
116276,2020-12-15,Van Nuys
320228,2020-06-14,Newton
694563,2020-10-21,West LA
162079,2020-04-19,Harbor
817020,2020-10-31,Topanga
404943,2020-10-05,Hollenbeck
611174,2020-10-25,Hollywood
820920,2020-12-06,Harbor
623815,2020-11-17,Hollywood
819005,2020-07-08,Olympic
288402,2020-02-15,N Hollywood
457242,2020-10-07,77th Street
108101,2020-10-29,Hollenbeck
857457,2020-10-25,Foothill
200712,2020-05-06,Central
849285,2020-12-17,Hollywood
988810,2020-04-08,Foothill
881307,2020-12-25,Central
825219,2020-06-12,Topanga
414443,2020-03-19,77th Street
842429,2020-01-14,Hollenbeck
91927,2020-10-16,77th Street
332384,2020-04-21,Newton
613396,2020-04-03,West LA
447013,2020-12-12,Devonshire
204056,2020-09-14,77th Street
524831,2020-03-27,Hollywood
976251,2020-11-09,Olympic
736537,2020-06-02,77th Street
213134,2020-04-20,Harbor
560297,2020-02-25,77th Street
997076,2020-07-19,Pacific
137294,2020-01-18,West LA
151969,2020-11-03,West LA
341087,2020-03-03,Hollenbeck
63780,2020-08-20,Olympic
155477,2020-11-30,Devonshire
410456,2020-09-25,Van Nuys
862808,2020-09-03,Southeast
959680,2020-12-16,Central
965810,2020-04-21,Olympic
605815,2020-11-05,Southwest
97381,2020-10-05,N Hollywood
419501,2020-11-09,Topanga
119264,2020-09-13,West LA
311895,2020-09-18,Central
55050,2020-05-07,Southeast
243791,2020-10-10,Topanga
322875,2020-01-01,Hollenbeck
312918,2020-06-05,Rampart
502885,2020-03-08,Hollywood
164827,2020-04-12,Wilshire
629664,2020-05-06,N Hollywood
974833,2020-07-26,Southeast
497473,2020-08-28,Southwest
760795,2020-06-19,Wilshire
28219,2020-05-13,Pacific
68360,2020-11-30,Southwest
938840,2020-08-02,Southeast
790187,2020-10-01,Van Nuys
714637,2020-09-07,Hollenbeck
991922,2020-12-13,Hollenbeck
533895,2020-10-24,West Valley
559975,2020-09-10,Devonshire
535059,2020-05-01,Central
280499,2020-02-01,Newton
610831,2020-07-19,Southeast
269642,2020-05-15,77th Street
413707,2020-01-14,Southeast
218848,2020-08-31,Southwest
540701,2020-05-09,77th Street
951618,2020-01-26,Pacific
319986,2020-04-05,Hollenbeck
607980,2020-03-21,Rampart
684869,2020-11-28,Topanga
613469,2020-04-30,Wilshire
170430,2020-06-23,Wilshire
708595,2020-12-12,N Hollywood
558172,2020-08-15,Van Nuys
557210,2020-12-12,N Hollywood
172229,2020-11-29,Hollywood
724932,2020-10-09,77th Street
342364,2020-02-17,77th Street
593674,2020-07-14,Rampart
468020,2020-01-15,N Hollywood
387035,2020-10-05,Hollenbeck
929365,2020-01-17,Pacific
329419,2020-03-24,Southeast
363003,2020-12-09,Central
806480,2020-05-18,Olympic
54996,2020-01-11,Harbor
868585,2020-04-17,Southeast
155079,2020-06-26,Wilshire
253786,2020-09-09,Hollywood
906239,2020-09-26,Wilshire
435161,2020-03-04,Hollenbeck
222582,2020-10-09,Southwest
634550,2020-08-14,Olympic
526234,2020-12-20,Hollywood
267103,2020-08-25,Mission
958387,2020-08-06,Rampart
764440,2020-05-15,Olympic
816220,2020-05-14,N Hollywood
942929,2020-04-24,Southwest
126326,2020-07-17,Devonshire
229177,2020-07-13,Rampart
563292,2020-03-08,N Hollywood
878987,2020-12-04,Hollywood
673903,2020-03-05,77th Street
177423,2020-11-16,77th Street
569963,2020-09-10,Northeast
465290,2020-04-09,77th Street
182711,2020-05-09,Hollenbeck
853038,2020-11-05,Olympic
791425,2020-08-06,Central
503522,2020-07-06,Olympic
842538,2020-09-25,Hollenbeck
748177,2020-09-03,Harbor
874569,2020-07-30,Mission
492159,2020-06-27,Rampart
138243,2020-10-21,Topanga
732433,2020-01-26,Rampart
307851,2020-09-16,Wilshire
574671,2020-11-07,Hollenbeck
708570,2020-12-05,Southeast
335066,2020-12-11,Southeast
113142,2020-07-15,Southwest
90044,2020-01-28,Van Nuys
940856,2020-05-02,Wilshire
728670,2020-12-04,West Valley
165838,2020-12-20,Central
104596,2020-01-17,Southwest
273000,2020-06-03,Olympic
621138,2020-12-05,Hollenbeck
946376,2020-09-05,Hollenbeck
413727,2020-01-04,Rampart
966237,2020-04-13,77th Street
332004,2020-12-03,Wilshire
163666,2020-11-02,Southwest
639728,2020-06-14,Wilshire
526220,2020-11-07,Wilshire
849289,2020-11-20,Olympic
718861,2020-07-28,Olympic
873435,2020-04-14,Southwest
947812,2020-05-29,Northeast
604301,2020-12-16,Southwest
371037,2020-08-17,Topanga
962573,2020-06-11,Rampart
817790,2020-01-26,77th Street
66148,2020-01-26,Topanga
677862,2020-05-19,Southeast
398149,2020-10-11,Harbor
726132,2020-04-20,Olympic
857174,2020-07-08,Rampart
691479,2020-09-06,Newton
807499,2020-01-10,77th Street
189360,2020-02-22,Rampart
185665,2020-07-11,Harbor
98339,2020-06-27,Harbor
630286,2020-02-18,77th Street
818025,2020-12-12,Southeast
494930,2020-04-11,Wilshire
69133,2020-10-16,West LA
261883,2020-10-02,Mission
163758,2020-10-24,Harbor
588659,2020-04-10,Southwest
228451,2020-03-14,Pacific
965771,2020-03-18,Hollenbeck
648136,2020-05-30,Northeast
363105,2020-11-17,Hollenbeck
883823,2020-07-20,West LA
380813,2020-10-25,Van Nuys
800323,2020-01-05,Newton
442206,2020-05-01,Southwest
611216,2020-07-08,Wilshire
809171,2020-07-29,Olympic
508381,2020-04-21,Olympic
21171,2020-04-16,Wilshire
968595,2020-12-19,Hollywood
796124,2020-03-30,Olympic
44147,2020-06-06,Foothill
432662,2020-03-05,West Valley
75871,2020-11-29,Newton
825076,2020-03-03,Olympic
842719,2020-01-24,Rampart
133181,2020-04-07,Olympic
361847,2020-07-04,77th Street
765466,2020-07-07,Southeast
431553,2020-12-11,Mission
790807,2020-04-15,West Valley
893441,2020-08-15,Rampart
936378,2020-04-17,Hollywood
183571,2020-04-06,Newton
777571,2020-04-23,Southwest
955031,2020-04-16,Central
658968,2020-08-05,77th Street
734540,2020-01-12,Central
774546,2020-08-09,77th Street
445421,2020-02-29,Central
649755,2020-04-14,Devonshire
931833,2020-01-30,Pacific
439343,2020-07-26,Hollenbeck
553094,2020-09-15,West LA
840271,2020-05-29,Newton
191553,2020-05-28,Olympic
542698,2020-04-30,Hollenbeck
562122,2020-03-10,Hollenbeck
