customer_id,event_date,payment_value,rating
717421,2020-12-15,381,1.4
345078,2020-03-23,273,1.0
980021,2020-06-11,343,1.0
451944,2020-07-29,387,1.2
725314,2020-10-04,315,1.8
331676,2020-06-12,373,1.0
501000,2020-08-04,283,1.6
307291,2020-10-18,356,1.0
583768,2020-11-07,291,1.1
474611,2020-12-30,302,2.6
323661,2020-10-30,244,3.1
894284,2020-10-05,345,2.5
351119,2020-03-26,345,1.3
727307,2020-12-01,293,1.1
889701,2020-10-02,286,2.5
533895,2020-12-13,265,1.6
968930,2020-11-22,265,1.2
327685,2020-11-12,266,2.0
854073,2020-10-13,244,2.2
380208,2020-09-25,382,2.7
78159,2020-08-15,290,1.1
335788,2020-10-13,262,3.7
282350,2020-06-30,302,1.4
861780,2020-05-26,309,4.1
321838,2020-06-18,306,2.6
124509,2020-03-24,315,1.6
447049,2020-09-10,242,1.7
588538,2020-08-05,289,2.6
338403,2020-12-23,341,2.9
45965,2020-10-12,314,2.9
14614,2020-08-13,262,3.3
59674,2020-10-09,325,1.7
380208,2020-11-23,324,1.9
162782,2020-12-28,356,3.5
821832,2020-11-13,409,1.0
469484,2020-12-23,227,1.5
842342,2020-12-01,308,2.9
461562,2020-07-23,315,1.0
430136,2020-12-06,284,2.8
905034,2020-12-28,311,2.8
810592,2020-10-27,288,1.8
797382,2020-12-26,309,2.4
642881,2020-10-24,309,2.1
765022,2020-12-27,266,2.4
837910,2020-12-15,306,3.1
83095,2020-11-07,359,2.2
153041,2020-05-01,281,1.4
797382,2020-06-18,321,2.1
408080,2020-09-27,282,2.0
623440,2020-12-28,268,2.7
712748,2020-07-06,277,3.2
416059,2020-08-23,320,2.6
962434,2020-05-11,245,2.2
56326,2020-11-13,337,1.0
298618,2020-11-08,286,2.0
681212,2020-10-24,231,2.3
99745,2020-10-11,342,1.1
368665,2020-08-08,317,1.0
346989,2020-09-05,298,1.0
472995,2020-08-22,356,2.4
555585,2020-10-01,298,1.2
371743,2020-11-02,363,4.0
231833,2020-09-16,207,3.2
347556,2020-04-19,381,2.3
263,2020-11-24,240,2.9
153041,2020-04-09,290,1.4
912824,2020-05-25,238,2.6
420475,2020-11-20,339,1.4
285333,2020-12-29,326,1.0
669182,2020-09-05,340,2.0
115392,2020-04-07,290,1.9
776429,2020-11-13,343,2.8
81824,2020-12-25,326,2.1
933341,2020-10-11,303,2.6
810430,2020-12-19,311,2.7
458034,2020-08-20,284,1.0
925292,2020-08-04,351,4.2
324258,2020-12-23,322,1.9
615646,2020-09-30,293,1.9
288643,2020-08-26,300,1.0
995300,2020-12-27,274,1.0
919556,2020-12-18,312,1.7
380961,2020-07-20,324,1.8
148033,2020-09-19,349,2.2
224849,2020-12-20,409,1.0
766043,2020-12-28,267,2.9
121948,2020-08-31,426,1.8
750598,2020-08-26,302,1.8
135386,2020-12-17,366,1.7
376149,2020-12-19,334,1.7
699169,2020-09-02,236,2.3
761490,2020-10-18,325,3.3
706167,2020-12-25,294,1.4
488749,2020-10-27,328,2.2
317375,2020-08-30,314,1.9
96051,2020-10-18,358,2.4
267270,2020-04-26,395,3.1
544339,2020-12-02,332,1.0
828017,2020-07-13,330,2.4
120235,2020-10-19,340,3.0
304808,2020-06-06,279,2.8
916419,2020-12-26,271,4.0
369811,2020-01-14,233,1.0
782309,2020-12-30,217,1.1
497700,2020-11-05,244,4.0
44147,2020-08-22,283,1.0
964140,2020-05-07,355,1.4
622520,2020-06-23,238,2.9
192258,2020-12-16,331,1.6
960346,2020-12-19,370,2.1
348152,2020-05-01,380,2.5
425927,2020-10-04,377,2.1
